,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
283,925.58,841.58,439.84,954.64,19,12/3/2015
284,925.58,841.55,439.84,954.64,20,12/3/2015
285,925.59,841.57,439.83,954.64,21,12/3/2015
286,925.59,841.58,439.81,954.64,22,12/3/2015
287,925.59,841.6,439.8,954.64,23,12/3/2015
288,925.59,841.62,439.79,954.63,0,13/3/2015
289,925.58,841.63,439.8,954.63,1,13/3/2015
290,925.57,841.65,439.81,954.63,2,13/3/2015
291,925.56,841.67,439.82,954.63,3,13/3/2015
292,925.56,841.68,439.83,954.63,4,13/3/2015
293,925.56,841.7,439.84,954.63,5,13/3/2015
294,625.57,841.72,439.85,954.63,6,13/3/2015
295,925.57,841.739,439.86,954.63,7,13/3/2015
296,925.57,841.754,439.87,954.62,8,13/3/2015
297,925.57,841.772,439.88,954.62,9,13/3/2015
298,925.57,841.784,439.89,954.62,10,13/3/2015
299,925.57,841.76,439.89,954.62,11,13/3/2015
300,925.57,841.74,439.89,954.62,12,13/3/2015
301,925.58,841.708,439.9,954.62,13,13/3/2015
302,925.58,841.692,439.9,954.62,14,13/3/2015
303,925.58,841.668,439.91,954.62,15,13/3/2015
304,925.58,841.65,439.91,954.62,16,13/3/2015
305,925.58,841.62,439.91,954.61,17,13/3/2015
306,925.58,841.6,439.92,954.61,18,13/3/2015
307,925.58,841.57,439.93,954.61,19,13/3/2015
308,925.58,841.55,439.94,954.61,20,13/3/2015
309,925.59,841.57,439.95,954.61,21,13/3/2015
310,925.59,841.58,439.96,954.61,22,13/3/2015
311,925.59,841.6,439.96,954.61,23,13/3/2015
312,925.59,841.61,439.96,954.6,0,14/3/2015
313,925.59,841.63,439.98,954.6,1,14/3/2015
314,925.58,841.65,439.98,954.6,2,14/3/2015
315,925.58,841.66,439.99,954.6,3,14/3/2015
316,925.56,841.67,439.4,954.6,4,14/3/2015
317,925.55,841.69,439.99,954.6,5,14/3/2015
318,925.55,841.7,439.97,954.6,6,14/3/2015
319,925.55,841.726,439.79,954.6,7,14/3/2015
320,925.55,841.741,439.81,954.6,8,14/3/2015
321,925.55,841.755,439.85,954.6,9,14/3/2015
322,925.55,841.77,439.89,954.6,10,14/3/2015
323,925.55,841.748,439.92,954.6,11,14/3/2015
324,925.55,841.724,439.91,954.59,12,14/3/2015
325,925.56,841.702,439.9,954.59,13,14/3/2015
326,925.56,841.673,439.89,954.59,14,14/3/2015
327,925.56,841.651,439.87,954.59,15,14/3/2015
328,925.56,841.628,439.86,954.59,16,14/3/2015
