,APANAS,ASTURIAS,VIRGEN,HIDROPANTASMA,HORA,Date
5,953.48,926.32,439.82,,5,12/8/2013
6,953.48,926.32,439.83,,6,12/8/2013
7,953.48,926.33,439.82,,7,12/8/2013
8,953.48,926.33,439.83,,8,12/8/2013
9,953.48,926.33,439.83,,9,12/8/2013
10,953.48,926.34,439.81,,10,12/8/2013
11,953.48,926.34,439.79,,11,12/8/2013
12,953.48,926.35,439.77,,12,12/8/2013
13,953.48,926.35,439.76,,13,12/8/2013
14,953.48,926.35,439.75,,14,12/8/2013
15,953.48,926.36,439.75,,15,12/8/2013
16,953.48,926.38,439.74,,16,12/8/2013
17,953.48,926.38,439.72,,17,12/8/2013
18,953.48,926.38,439.71,,18,12/8/2013
19,953.48,926.38,439.69,,19,12/8/2013
20,953.48,926.39,439.67,,20,12/8/2013
21,953.48,926.39,439.66,,21,12/8/2013
22,953.48,926.39,439.66,,22,12/8/2013
23,953.48,926.39,439.67,,23,12/8/2013
0,953.48,926.39,439.69,,0,13/8/2013
1,953.48,926.39,439.7,,1,13/8/2013
2,953.48,926.38,439.71,,2,13/8/2013
3,953.48,926.37,439.73,,3,13/8/2013
4,953.48,926.36,439.74,,4,13/8/2013
5,953.48,926.35,439.76,,5,13/8/2013
6,953.48,926.37,439.76,,6,13/8/2013
7,953.48,926.38,439.76,,7,13/8/2013
8,953.48,926.4,439.78,,8,13/8/2013
9,953.48,926.4,439.76,,9,13/8/2013
10,953.48,926.4,439.74,,10,13/8/2013
11,953.48,926.41,439.73,,11,13/8/2013
12,953.48,926.42,439.71,,12,13/8/2013
13,953.48,926.44,439.69,,13,13/8/2013
14,953.48,926.45,439.68,,14,13/8/2013
15,953.48,926.46,439.68,,15,13/8/2013
16,953.49,926.47,439.67,,16,13/8/2013
17,953.49,926.49,439.67,,17,13/8/2013
18,953.49,926.52,439.68,,18,13/8/2013
19,953.49,926.55,439.68,,19,13/8/2013
20,953.5,926.59,439.69,,20,13/8/2013
21,953.5,926.64,439.69,,21,13/8/2013
22,953.51,926.69,439.69,,22,13/8/2013
23,953.51,926.72,439.7,,23,13/8/2013
0,953.52,926.72,439.72,,0,14/8/2013
1,953.52,926.72,439.74,,1,14/8/2013
2,953.52,926.72,439.74,,2,14/8/2013
3,953.53,926.72,439.76,,3,14/8/2013
4,953.53,926.72,439.78,,4,14/8/2013
5,953.53,926.72,439.8,,5,14/8/2013
6,953.53,926.73,439.82,,6,14/8/2013
7,953.53,926.74,439.84,,7,14/8/2013
8,953.53,926.76,439.85,,8,14/8/2013
9,953.53,926.77,439.84,,9,14/8/2013
10,953.53,926.78,439.83,,10,14/8/2013
11,953.53,926.78,439.82,,11,14/8/2013
12,953.53,926.79,439.81,,12,14/8/2013
13,953.53,926.81,439.81,,13,14/8/2013
14,953.53,926.83,439.79,,14,14/8/2013
15,953.53,926.85,439.79,,15,14/8/2013
16,953.53,926.86,439.78,,16,14/8/2013
17,953.53,926.86,439.76,,17,14/8/2013
18,953.53,926.86,439.76,,18,14/8/2013
19,953.53,926.86,439.75,,19,14/8/2013
20,953.53,926.88,439.75,,20,14/8/2013
21,953.53,926.88,439.75,,21,14/8/2013
22,953.54,926.88,439.76,,22,14/8/2013
23,953.54,926.88,439.76,,23,14/8/2013
0,953.54,926.89,439.78,,0,15/8/2013
1,953.53,926.89,439.8,,1,15/8/2013
2,953.53,926.88,439.82,,2,15/8/2013
3,953.53,926.87,439.85,,3,15/8/2013
4,953.53,926.86,439.86,,4,15/8/2013
5,953.53,926.85,439.87,,5,15/8/2013
6,953.53,926.85,439.86,,6,15/8/2013
7,953.53,926.85,439.85,,7,15/8/2013
8,953.53,926.85,439.84,,8,15/8/2013
9,953.53,926.86,439.84,,9,15/8/2013
10,953.53,926.86,439.82,,10,15/8/2013
11,953.53,926.86,439.81,,11,15/8/2013
12,953.53,926.87,439.8,,12,15/8/2013
13,953.53,926.87,439.78,,13,15/8/2013
14,953.53,926.87,439.77,,14,15/8/2013
15,953.53,926.87,439.76,,15,15/8/2013
16,953.53,926.87,439.76,,16,15/8/2013
17,953.53,926.93,439.76,,17,15/8/2013
18,953.53,926.95,439.76,,18,15/8/2013
19,953.53,926.96,439.76,,19,15/8/2013
20,953.54,926.97,439.75,,20,15/8/2013
21,953.54,926.98,439.73,,21,15/8/2013
22,953.54,927.01,439.72,,22,15/8/2013
23,953.54,927.01,439.73,,23,15/8/2013
0,953.54,927.01,439.73,,0,16/8/2013
1,953.54,927.01,439.74,,1,16/8/2013
2,953.54,927,439.75,,2,16/8/2013
3,953.54,926.99,439.77,,3,16/8/2013
4,953.54,926.98,439.77,,4,16/8/2013
5,953.54,926.97,439.78,,5,16/8/2013
6,953.54,926.97,439.79,,6,16/8/2013
7,953.54,926.97,439.8,,7,16/8/2013
8,953.54,926.97,439.8,,8,16/8/2013
9,953.54,926.97,439.8,,9,16/8/2013
10,953.54,926.98,439.8,,10,16/8/2013
11,953.54,926.98,439.79,,11,16/8/2013
12,953.54,926.98,439.78,,12,16/8/2013
13,953.54,926.98,439.78,,13,16/8/2013
14,953.54,926.99,439.77,,14,16/8/2013
15,953.54,926.99,439.76,,15,16/8/2013
16,953.54,927,439.76,,16,16/8/2013
17,953.54,927,439.75,,17,16/8/2013
18,953.54,927,439.74,,18,16/8/2013
19,953.55,927,439.73,,19,16/8/2013
20,953.55,927,439.72,,20,16/8/2013
21,953.55,927,439.71,,21,16/8/2013
22,953.55,927.01,439.71,,22,16/8/2013
23,953.55,927.01,439.71,,23,16/8/2013
0,953.55,927.01,439.71,,0,17/8/2013
1,953.56,927.01,439.72,,1,17/8/2013
2,953.56,927.01,439.73,,2,17/8/2013
3,953.56,927.01,439.74,,3,17/8/2013
4,953.56,927.01,439.75,,4,17/8/2013
5,953.56,927.01,439.77,,5,17/8/2013
6,953.57,927.01,439.78,,6,17/8/2013
7,953.57,927.01,439.78,,7,17/8/2013
8,953.57,927.01,439.78,,8,17/8/2013
9,953.57,927.01,439.78,,9,17/8/2013
10,953.57,927.02,439.77,,10,17/8/2013
11,953.57,927.02,439.76,,11,17/8/2013
12,953.57,927.02,439.75,,12,17/8/2013
13,953.57,927.03,439.75,,13,17/8/2013
14,953.57,927.03,439.75,,14,17/8/2013
15,953.57,927.03,439.74,,15,17/8/2013
16,953.57,927.03,439.73,,16,17/8/2013
17,953.57,927.04,439.72,,17,17/8/2013
18,953.57,927.04,439.72,,18,17/8/2013
19,953.57,927.04,439.72,,19,17/8/2013
20,953.57,927.04,439.72,,20,17/8/2013
21,953.57,927.05,439.72,,21,17/8/2013
22,953.57,927.06,439.72,,22,17/8/2013
23,953.57,927.06,439.72,,23,17/8/2013
0,953.56,927.06,439.72,,0,18/8/2013
1,953.56,927.06,439.74,,1,18/8/2013
2,953.56,927.06,439.76,,2,18/8/2013
3,953.56,927.06,439.78,,3,18/8/2013
4,953.56,927.06,439.8,,4,18/8/2013
5,953.56,927.05,439.81,,5,18/8/2013
6,953.56,927.05,439.83,,6,18/8/2013
7,953.56,927.04,439.84,,7,18/8/2013
8,953.56,927.04,439.85,,8,18/8/2013
9,953.56,927.03,439.85,,9,18/8/2013
10,953.56,927.03,439.85,,10,18/8/2013
11,953.56,927.02,439.85,,11,18/8/2013
12,953.56,927.02,439.84,,12,18/8/2013
13,953.56,927.01,439.83,,13,18/8/2013
14,953.56,927.01,439.81,,14,18/8/2013
15,953.56,927.01,439.8,,15,18/8/2013
16,953.56,927.01,439.78,,16,18/8/2013
17,953.56,927.01,439.77,,17,18/8/2013
18,953.56,926.99,439.76,,18,18/8/2013
19,953.56,926.98,439.74,,19,18/8/2013
20,953.56,926.97,439.73,,20,18/8/2013
21,953.56,926.96,439.72,,21,18/8/2013
22,953.56,926.95,439.72,,22,18/8/2013
23,953.56,926.94,439.72,,23,18/8/2013
0,953.55,926.93,439.73,,0,19/8/2013
1,953.55,926.92,439.76,,1,19/8/2013
2,953.55,926.91,439.79,,2,19/8/2013
3,953.55,926.9,439.81,,3,19/8/2013
4,953.55,926.89,439.83,,4,19/8/2013
5,953.55,926.89,439.84,,5,19/8/2013
6,953.55,926.88,439.85,,6,19/8/2013
7,953.55,926.88,439.85,,7,19/8/2013
8,953.55,926.88,439.85,,8,19/8/2013
9,953.55,926.88,439.85,,9,19/8/2013
10,953.55,926.88,439.84,,10,19/8/2013
11,953.55,926.88,439.83,,11,19/8/2013
12,953.55,926.88,439.81,,12,19/8/2013
13,953.55,926.88,439.79,,13,19/8/2013
14,953.55,926.88,439.77,,14,19/8/2013
15,953.55,926.88,439.75,,15,19/8/2013
16,953.54,926.89,439.74,,16,19/8/2013
17,953.54,926.89,439.73,,17,19/8/2013
18,953.54,926.89,439.72,,18,19/8/2013
19,953.54,926.89,439.72,,19,19/8/2013
20,953.54,926.9,439.71,,20,19/8/2013
21,953.54,926.9,439.71,,21,19/8/2013
22,953.54,926.91,439.71,,22,19/8/2013
23,953.54,926.91,439.72,,23,19/8/2013
0,953.53,926.9,439.74,,0,20/8/2013
1,953.53,926.9,439.75,,1,20/8/2013
2,953.53,926.9,439.77,,2,20/8/2013
3,953.53,926.9,439.77,,3,20/8/2013
4,953.53,926.9,439.78,,4,20/8/2013
5,953.53,926.91,439.78,,5,20/8/2013
6,953.53,926.91,439.79,,6,20/8/2013
7,953.53,926.91,439.79,,7,20/8/2013
8,953.53,926.91,439.79,,8,20/8/2013
9,953.53,926.91,439.78,,9,20/8/2013
10,953.53,926.91,439.77,,10,20/8/2013
11,953.52,926.92,439.76,,11,20/8/2013
12,953.52,926.92,439.74,,12,20/8/2013
13,953.52,926.92,439.73,,13,20/8/2013
14,953.52,926.92,439.72,,14,20/8/2013
15,953.52,926.92,439.72,,15,20/8/2013
16,953.52,926.92,439.71,,16,20/8/2013
17,953.51,926.93,439.71,,17,20/8/2013
18,953.51,926.93,439.7,,18,20/8/2013
19,953.51,926.94,439.69,,19,20/8/2013
20,953.51,926.94,439.69,,20,20/8/2013
21,953.51,926.94,439.68,,21,20/8/2013
22,953.51,926.95,439.68,,22,20/8/2013
23,953.51,926.95,439.67,,23,20/8/2013
0,953.51,926.94,439.67,,0,21/8/2013
1,953.51,926.93,439.68,,1,21/8/2013
2,953.51,926.92,439.69,,2,21/8/2013
3,953.51,926.91,439.73,,3,21/8/2013
4,953.51,926.9,439.74,,4,21/8/2013
5,953.51,926.89,439.75,,5,21/8/2013
6,953.51,926.88,439.75,,6,21/8/2013
7,953.5,926.88,439.76,,7,21/8/2013
8,953.5,926.88,439.77,,8,21/8/2013
9,953.5,926.88,439.77,,9,21/8/2013
10,953.5,926.88,439.77,,10,21/8/2013
11,953.5,926.88,439.76,,11,21/8/2013
12,953.49,926.88,439.75,,12,21/8/2013
13,953.49,926.88,439.74,,13,21/8/2013
14,953.49,926.88,439.74,,14,21/8/2013
15,953.49,926.88,439.73,,15,21/8/2013
16,953.49,926.88,439.72,,16,21/8/2013
17,953.49,926.88,439.71,,17,21/8/2013
18,953.48,926.89,439.71,,18,21/8/2013
19,953.48,926.89,439.7,,19,21/8/2013
20,953.48,926.9,439.69,,20,21/8/2013
21,953.48,926.9,439.69,,21,21/8/2013
22,953.48,926.89,439.69,,22,21/8/2013
23,953.48,926.88,439.69,,23,21/8/2013
0,953.48,926.88,439.69,,0,22/8/2013
1,953.48,926.87,439.7,,1,22/8/2013
2,953.48,926.87,439.71,,2,22/8/2013
3,953.48,926.86,439.71,,3,22/8/2013
4,953.48,926.85,439.73,,4,22/8/2013
5,953.48,926.85,439.75,,5,22/8/2013
6,953.48,926.84,439.76,,6,22/8/2013
7,953.48,926.84,439.76,,7,22/8/2013
8,953.47,926.84,439.77,,8,22/8/2013
9,953.47,926.84,439.76,,9,22/8/2013
10,953.47,926.84,439.75,,10,22/8/2013
11,953.47,926.84,439.74,,11,22/8/2013
12,953.47,926.84,439.72,,12,22/8/2013
13,953.47,926.84,439.72,,13,22/8/2013
14,953.47,926.84,439.71,,14,22/8/2013
15,953.47,926.84,439.7,,15,22/8/2013
16,953.47,926.84,439.7,,16,22/8/2013
17,953.47,926.85,439.72,,17,22/8/2013
18,953.47,926.85,439.73,,18,22/8/2013
19,953.47,926.86,439.73,,19,22/8/2013
20,953.47,926.86,439.72,,20,22/8/2013
21,953.47,926.86,439.71,,21,22/8/2013
22,953.47,926.86,439.71,,22,22/8/2013
23,953.47,926.85,439.71,,23,22/8/2013
0,953.47,926.85,439.7,,0,23/8/2013
1,953.47,926.83,439.71,,1,23/8/2013
2,953.47,926.82,439.73,,2,23/8/2013
3,953.47,926.81,439.75,,3,23/8/2013
4,953.47,926.8,439.77,,4,23/8/2013
5,953.47,926.79,439.79,,5,23/8/2013
6,953.47,926.78,439.81,,6,23/8/2013
7,953.47,926.78,439.83,,7,23/8/2013
8,953.47,926.79,439.84,,8,23/8/2013
9,953.47,926.79,439.84,,9,23/8/2013
10,953.47,926.79,439.84,,10,23/8/2013
11,953.47,926.79,439.83,,11,23/8/2013
12,953.47,926.81,439.82,,12,23/8/2013
13,953.47,926.81,439.83,,13,23/8/2013
14,953.47,926.81,439.82,,14,23/8/2013
15,953.47,926.83,439.82,,15,23/8/2013
16,953.47,926.83,439.82,,16,23/8/2013
17,953.47,926.85,439.81,,17,23/8/2013
18,953.47,926.86,439.79,,18,23/8/2013
19,953.47,926.87,439.78,,19,23/8/2013
20,953.47,926.88,439.77,,20,23/8/2013
21,953.47,926.88,439.77,,21,23/8/2013
22,953.47,926.88,439.77,,22,23/8/2013
23,953.47,926.88,439.78,,23,23/8/2013
0,953.47,926.87,439.8,,0,24/8/2013
1,953.47,926.86,439.8,,1,24/8/2013
2,953.47,926.85,439.81,,2,24/8/2013
3,953.47,926.84,439.82,,3,24/8/2013
4,953.47,926.83,439.82,,4,24/8/2013
5,953.47,926.82,439.83,,5,24/8/2013
6,953.47,926.81,439.83,,6,24/8/2013
7,953.47,926.81,439.84,,7,24/8/2013
8,953.47,926.81,439.84,,8,24/8/2013
9,953.47,926.84,439.83,,9,24/8/2013
10,953.47,926.86,439.82,,10,24/8/2013
11,953.47,926.88,439.81,,11,24/8/2013
12,953.47,926.9,439.79,,12,24/8/2013
