,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
17,17,0,0,0,0,0,5.735,30.749,20.094,34.541,0,4.2,2,0,18.852,50.764,16.28,0,25.105,25.105,0,0,0,16.42,22.382,13.905,14.247,0,39.068,0,0,0,5.2,5.2,0,23,5.84,39.398,5.127,-6.3,-1.117,420.375,1/8/2012
18,18,0,0,0,0,0,7.141,31.456,20.4,35.125,0,4.8,1.9,0,19.016,50.986,16.65,0,25.133,25.217,0,0,0,14.807,20.837,15.094,15.354,0,38.078,0,0,0,5.2,5.2,0,23,5.44,47.001,-9.766,4.7,12.085,420.816,1/8/2012
19,19,16.065,19.5,18.726,19.214,16,7.163,31.574,20.497,34.902,0,8,3.6,0,19.098,51.208,16.798,0,25.133,25.439,0,0,0,24.118,24.255,14.315,14.793,0,38.598,0,0,0,5.2,5.2,0,23.2,5.92,48.571,-11.475,0.4,9.192,538.99,1/8/2012
20,20,15.252,18.92,18.006,18.458,18.64,7.149,31.103,20.271,34.875,0,6.4,4,0,19.059,50.32,0,0,25.105,25.356,0,0,0,20.385,22.833,19.702,20.508,0,39.007,0,0,0,5.2,5.2,0,23,5.84,48.46,34.669,-18.301,-22.706,529.387,1/8/2012
21,21,0,18.6,17.713,18.421,0,7.156,31.545,20.561,35.181,0,6.5,7.5,0,19.133,50.986,0,0,25.161,25.3,0,0,0,18.745,17.104,14.547,15.272,0,38.797,0,0,0,5.2,5.2,0,22.9,6,48.46,12.207,-6.1,-3.607,473.532,1/8/2012
22,22,0,0,0,0,0,7.141,31.545,11.973,35.32,0,16.801,14.7,0,19.18,51.06,0,0,25.161,25.161,0,0,0,20.508,21.657,15.928,0,0,38.557,0,0,0,5.2,5.2,0,23,6.15,48.46,4.395,2,-2.509,418.816,1/8/2012
23,23,0,0,0,0,0,7.229,31.721,0,34.958,0,4.4,3.1,0,18.985,51.356,14.726,0,25.523,25.244,0,0,0,16.338,10.965,16.489,0,0,39.177,0,0,0,0,5.2,0,22.9,6.23,48.46,-6.592,-1.4,5.09,385.903,1/8/2012
0,00,0,0,0,0,0,7.119,31.103,0,35.236,0,15.201,10.4,0,19.012,51.652,16.798,0,25.523,24.994,0,0,0,6.905,7.656,0,0,0,38.678,0,0,0,0,5.2,0,23.1,6.14,40.147,-2.808,1.9,1.685,364.087,2/8/2012
1,01,0,0,0,0,0,7.215,30.131,0,34.902,0,4.7,3.3,0,21.784,50.616,0,0,25.523,25.161,0,0,0,12.045,11.211,0,0,0,38.237,0,0,0,0,5.2,0,23,6.15,47.396,-2.075,-2.5,5.786,345.36,2/8/2012
2,02,0,0,0,0,0,7.127,29.482,0,0,0,9.8,6.4,0,19.001,50.69,16.65,0,25.133,25.662,0,0,0,15.053,17.049,0,0,0,38.857,0,0,0,0,5.2,0,23,6.15,47.396,0,-2,0.293,344.357,2/8/2012
3,03,0,0,0,0,0,7.068,29.423,0,0,0,7,6.3,0,19.032,47.5,17.102,0,25.217,25.217,0,0,0,15.313,18.376,0,0,0,39.037,0,0,0,0,5.2,0,23,5.94,47.396,2.686,-4.4,-.311,340.146,2/8/2012
4,04,0,0,0,0,0,7.215,29.806,0,0,0,13.6,10,0,14.986,51.504,16.724,0,25.578,25.272,0,0,0,14.834,15.395,0,0,0,38.288,0,0,0,0,5.2,0,23,6.12,47.396,0,-.9,-.513,346.331,2/8/2012
5,05,0,0,0,0,0,7.207,30.013,0,0,0,10.1,7.5,0,15.017,51.356,16.872,0,25.578,25.3,0,0,0,23.831,24.446,0,0,0,38.967,0,0,0,0,5.2,0,23.1,6.07,47.396,-6.348,-5.2,-1.502,371.003,2/8/2012
6,06,0,0,0,0,0,7.119,29.335,0,0,0,19.501,15.701,0,14.853,51.356,16.724,0,25.551,25.801,0,0,0,22.71,24.514,0,0,0,38.938,0,0,0,0,5.2,0,23,6.2,47.396,11.841,-5.9,-8.112,376.07,2/8/2012
7,07,0,0,0,0,0,7.09,29.777,0,34.763,0,21.901,14.6,0,21.138,51.282,16.724,0,25.662,25.272,0,0,0,12.661,13.235,0,0,0,38.837,0,0,0,0,5.2,0,23,6.15,47.396,-9.4,9.1,5.695,389.293,2/8/2012
8,08,0,0,17.005,0,0,7.757,31.22,20.078,34.374,0,18.401,14.6,0,20.795,51.356,16.798,0,25.3,25.244,0,0,0,17.405,21.424,15.409,0,0,38.017,0,0,0,5.2,5.2,0,23.2,6,37.974,10.987,-3.2,-4.706,449.676,2/8/2012
9,09,0,0,16.968,18.775,0,7.559,30.396,20.4,34.93,0,25.201,14.8,0,20.865,51.06,16.65,0,25.3,25.328,0,0,0,16.926,17.213,17.583,15.627,0,38.267,0,0,0,5.2,5.2,0,23.1,5.84,42.764,-8.301,10.2,5.182,488.932,2/8/2012
10,10,15.043,16.97,16.59,18.384,0,7.376,29.806,20.239,34.318,0,33.001,16.601,0,20.892,50.838,16.354,0,25.606,25.217,0,0,0,12.811,7.451,16.065,15.614,0,39.167,0,0,0,5.2,5.2,0,23.2,5.76,48.132,-15.137,10.2,-.311,531.083,2/8/2012
11,11,15.112,17.1,16.431,18.311,0,7.171,30.278,20.303,34.374,0,18.901,13.6,0,20.79,51.208,16.872,0,25.634,25.495,0,0,0,22.71,19.387,21.192,21.274,0,37.797,0,0,0,5.2,5.2,0,24.4,5.72,47.992,32.594,-16.1,-15.912,541.87,2/8/2012
12,12,15.126,17.1,16.456,18.36,18.6,7.046,29.659,20.464,34.374,0,15.301,11.3,0,20.516,51.43,17.094,0,25.745,25.356,0,0,0,15.204,18.403,18.922,18.376,0,38.378,0,0,0,5.2,5.2,0,24.2,5.6,47.992,19.288,-11.5,-6.61,540.234,2/8/2012
13,13,15.14,16.77,16.578,18.58,18.6,7.024,29.453,20.368,34.179,0,10.2,8.3,0,20.274,51.282,16.724,0,25.328,25.328,0,0,0,19.333,19.456,18.266,18.129,0,38.208,0,0,0,5.2,5.2,0,23.7,5.36,47.992,4.883,-3.1,-.513,533.712,2/8/2012
14,14,15.043,17.22,16.321,18.519,18.6,6.812,25.918,19.949,32.481,0,9.8,7.7,0,14.692,50.986,16.576,0,43.753,25.495,3.7,0,0,18.335,18.991,16.844,17.377,0,38.498,0,0,0,5.2,5.2,0,23.8,5.28,47.992,-12.452,1.5,3.296,548.698,2/8/2012
15,15,15.252,18.01,15.101,18.555,18.66,7.815,27.98,20.626,33.093,0,14.8,9.8,0,14.481,51.8,16.798,0,47.065,25.578,3.5,0,0,18.649,14.206,16.584,15.846,0,38.187,0,0,0,5.2,5.2,0,23,5.36,47.992,22.217,-4.9,-5.31,537.131,2/8/2012
16,16,16.597,18.5,17.591,18.58,18.6,8.123,27.361,20.336,34.012,0,15.801,11.2,0,20.446,51.208,16.576,0,36.6,25.578,0,0,0,14.875,7.944,15.258,15.45,0,38.657,0,0,0,5.2,5.2,0,23.6,5.36,47.992,7.202,-.8,-3.809,534.092,2/8/2012
17,17,16.401,18.48,17.53,0,0,6.629,25.564,20.029,33.706,0,10,8,0,24.063,51.06,16.798,0,26.079,25.551,0,0,0,22.272,22.751,18.649,0,0,38.517,0,0,0,5.2,5.2,0,23.8,5.49,47.992,-3.296,-2.2,1.996,493.261,2/8/2012
18,18,0,18.46,17.725,0,0,6.804,28.775,21.592,33.733,0,8.4,6.2,0,24.369,51.208,17.02,0,26.191,25.05,0,0,0,13.973,15.108,17.487,0,0,38.768,0,0,0,5.2,5.2,0,24,5.59,48.137,2.075,-2,0,458.915,2/8/2012
19,19,18.278,18.7,17.53,18.311,18.7,6.746,28.864,21.592,34.151,0,13.4,10.3,0,24.451,51.43,16.798,0,33.9,25.077,3.7,0,0,22.272,21.725,17.747,18.061,0,38.657,0,0,0,5.2,5.2,0,23.7,5.67,48.137,0,-1.1,-2.106,571.503,2/8/2012
20,20,18.081,18.72,17.566,18.628,18.69,7.053,29.217,21.899,34.485,0,0.9,0.1,0,24.599,51.652,16.354,0,35.515,25.244,3.6,0,0,24.077,24.473,22.108,22.573,0,38.387,0,0,0,5.2,5.2,0,23.4,5.84,48.137,48.952,-31.001,-14.301,558.048,2/8/2012
21,21,18.249,18.65,17.53,15.088,14.5,6.98,28.982,21.657,34.318,0,1.2,0.4,0,24.517,51.282,16.798,0,25.161,25.3,0,0,0,18.704,18.485,14.971,15.504,0,38.667,0,0,0,5.2,5.2,0,23,5.83,48.137,13.794,-17.801,-9.101,527.418,2/8/2012
22,22,0,0,0,0,0,7.068,29.306,21.834,34.708,0,0.1,0,0,24.674,50.986,16.724,0,25.189,25.189,0,0,0,23.503,23.27,23.216,23.53,0,38.407,0,0,0,5.2,5.2,0,23.3,6,48.137,9.033,-7.6,0.385,453.723,2/8/2012
23,23,0,0,0,0,0,7.178,29.07,22.882,34.485,0,2.3,0.9,0,18.306,50.32,0,0,25.634,25.356,0,0,0,22.723,22.546,15.231,14.739,0,38.857,0,0,0,5.2,5.2,0,23.3,6,48.137,-4.273,1.1,6.793,414.744,2/8/2012
0,00,0,0,0,0,0,7.039,28.805,22.833,34.457,0,7.7,4.6,0,18.283,50.098,0,0,25.634,25.439,0,0,0,17.118,17.61,0,0,0,38.657,0,0,0,5.2,5.2,0,23.3,6.07,48.137,1.709,-4.5,0.989,387.982,3/8/2012
1,01,0,0,0,0,0,7.31,29.335,23.381,34.596,0,8.3,7.4,0,18.326,50.172,0,0,25.634,25.551,0,0,0,10.364,10.254,0,0,0,38.987,0,0,0,5.2,5.2,0,23.5,6.15,43.249,-2.564,0.2,2.783,372.49,3/8/2012
2,02,0,0,0,0,0,7.112,28.864,22.93,13.499,0,4.6,3.6,0,18.197,50.542,0,0,25.634,25.3,0,0,0,16.379,17.501,0,0,0,38.987,0,0,0,5.2,5.2,0,23.7,6,47.144,0,-5.8,2.197,363.992,3/8/2012
3,03,0,0,0,0,0,7.171,28.893,23.059,0,0,0.1,0.1,0,18.026,45.806,5.92,0,25.606,25.495,0,0,0,24.063,24.255,0,0,0,38.187,0,0,0,5.2,5.2,0,24,6,50.123,3.906,-7.5,3.095,357.703,3/8/2012
4,04,0,0,0,0,0,7.075,28.569,22.769,0,0,2,1,0,18.124,51.208,16.28,0,25.606,25.551,0,0,0,18.458,19.237,0,0,0,38.338,0,0,0,5.2,5.2,0,23.6,6,46.546,0,-5.6,2.783,363.578,3/8/2012
5,05,0,0,0,0,0,7.171,29.011,23.027,5.149,0,7.9,2.6,0,18.217,51.134,16.428,0,25.606,25.467,0,0,0,23.913,22.751,0,0,0,38.747,0,0,0,5.2,5.2,0,23,6.07,50.108,10.254,-7.4,-1.41,385.255,3/8/2012
6,06,0,0,0,0,0,7.215,29.306,23.365,35.014,0,15.601,7.6,0,18.401,44.474,14.208,0,25.606,25.105,0,0,0,11.936,15.928,0,0,0,38.257,0,0,0,5.2,5.2,0,23.2,5.84,40.22,10.62,-2.4,-1.904,385.36,3/8/2012
7,07,0,0,0,0,0,7.2,29.041,23.139,30.672,0,16.901,12,0,19.237,51.874,17.168,0,25.606,25.857,0,0,0,14.643,14.547,0,0,0,38.028,0,0,0,5.2,5.2,0,23.2,5.92,42.701,2.808,1.3,-2.014,406.04,3/8/2012
8,08,0,17.8,0,0,0,6.966,27.302,20.142,23.992,0,34.801,20.701,0,25.139,51.282,16.65,0,25.606,25.634,0,0,0,14.588,16.079,16.024,0,0,39.217,0,0,0,5.2,5.2,0,23,5.84,45.398,4.517,6.3,-5.109,460.843,3/8/2012
9,09,18.866,18.52,16.553,0,0,6.892,27.45,19.32,24.298,0,25.801,18.701,0,25.272,51.134,16.872,0,26.024,25.495,0,0,0,20.7,19.633,15.491,15.874,0,38.257,0,0,0,5.2,5.2,0,23,5.66,47.599,-3.784,4.7,-3.717,520.613,3/8/2012
10,10,18.081,18.42,16.529,18.189,18.65,6.724,25.859,19.127,24.131,0,21.601,16.801,0,25.671,51.282,17.02,0,25.662,25.718,0,0,0,16.215,17.008,16.667,17.131,0,38.208,0,0,0,5.2,5.2,0,23.1,5.76,47.626,7.202,-2,-7.416,543.794,3/8/2012
11,11,18.095,18.45,16.431,18.519,18.68,6.848,28.157,20.755,24.131,0,20.101,15.601,0,25.807,51.06,16.724,0,32.397,25.745,2.5,0,0,17.856,17.719,18.991,18.526,0,38.437,0,0,0,5.2,5.2,0,23.1,5.52,47.626,10.132,0.5,-2.014,549.558,3/8/2012
12,12,18.165,18.58,16.358,18.213,18.58,6.643,27.627,20.368,23.63,0,11.4,8.8,0,25.807,51.356,16.946,0,40.441,25.885,3.7,0,0,20.495,19.004,20.891,20.071,0,38.147,0,0,0,5.2,5.2,0,23.1,5.28,47.626,16.968,-3.8,0,544.345,3/8/2012
13,13,18.207,18.59,16.224,18.482,18.64,6.68,28.186,20.674,23.769,0,7.4,7.3,0,24.956,52.614,17.168,0,40.525,25.244,4.9,0,0,16.079,19.128,17.2,16.94,0,38.707,0,0,0,5.2,5.2,0,23,5.21,47.626,2.441,-4.2,1.099,544.509,3/8/2012
14,14,16.653,18.47,16.041,18.177,18.6,6.482,27.98,20.11,27.749,0,5.6,5.2,0,18.827,50.616,16.428,0,47.622,25.578,4.8,0,0,21.288,21.479,20.645,20.932,0,38.277,0,0,0,5.2,5.2,0,23.1,5.21,47.626,-7.691,0.5,5.695,555.386,3/8/2012
15,15,18.152,18.02,16.919,14.637,17.07,6.746,27.45,20.577,31.98,0,7.8,6.2,0,18.928,50.764,16.724,0,47.678,25.829,4.8,0,0,22.956,24.555,20.317,20.44,0,37.487,0,0,0,5.2,5.2,0,23,5.13,47.626,11.475,-5.3,-.714,556.724,3/8/2012
16,16,17.956,18.47,16.102,18.506,16.88,6.988,27.067,20.287,32.815,0,7.2,6,0,18.999,51.134,16.798,0,25.411,25.69,4.8,0,0,22.833,23.803,15.723,16.174,0,38.437,0,0,0,5.2,5.2,0,23,5.28,47.626,1.343,-2.9,0,535.936,3/8/2012
17,17,9.482,4.56,0,0,0,6.621,28.952,20.883,31.507,0,31.601,20.601,0,18.79,51.874,17.02,0,25.467,25.829,0,0,0,16.079,15.272,16.038,16.475,0,38.787,0,0,0,5.2,5.2,0,23.1,5.21,47.626,1.587,8.9,-5.109,476.796,3/8/2012
18,18,0,0,0,0,0,8.709,30.69,21.109,32.314,0,16.301,9.2,0,20.317,51.208,16.724,0,25.578,25.356,0,0,0,24.091,24.419,19.319,0,0,37.797,0,0,0,5.2,5.2,0,23.1,5.44,47.626,5.982,-2,-4.706,450.422,3/8/2012
19,19,18.152,18.63,16.419,18.409,18.56,8.921,30.248,21.222,37.157,0,4.8,2.4,0,19.531,51.282,16.724,0,35.904,25.829,1.8,0,0,23.995,24.036,22.997,23.53,0,38.068,0,0,0,5.2,5.2,0,23,5.54,47.628,26.124,-16.3,-8.808,564.166,3/8/2012
20,20,18.418,18.82,16.382,18.506,18.41,9.383,30.425,21.705,37.352,0,4,0.4,0,19.246,51.134,16.872,0,32.592,25.523,4.9,0,0,23.708,24.022,22.819,23.024,0,38.687,0,0,0,5.2,5.2,0,23.2,5.6,47.628,45.167,-26.601,-15.308,559.898,3/8/2012
21,21,18.165,18.8,8.484,4.37,0,9.632,30.219,21.721,37.407,0,7.5,3.7,0,22.842,50.912,16.428,0,25.384,25.578,0,0,0,23.38,24.856,19.729,20.098,0,37.247,0,0,0,5.2,5.2,0,23.2,5.67,47.628,34.181,-25.101,-15.802,520.072,3/8/2012
22,22,0,0,0,0,0,9.742,30.189,21.512,37.407,0,9,7.3,0,22.263,50.838,16.428,0,25.773,25.356,0,0,0,23.421,22.669,15.491,15.655,0,38.938,0,0,0,5.2,5.2,0,23.3,5.8,47.734,-4.761,4,3.095,456.882,3/8/2012
23,23,0,0,0,0,0,9.588,30.101,22.801,33.038,0,6.9,5.8,0,22.295,51.43,16.576,0,25.077,25.69,0,0,0,14.452,16.147,15.286,14.616,0,38.628,0,0,0,0,5.2,0,22.8,5.9,38.055,-16.48,4.4,7.398,425.062,3/8/2012
0,00,0,0,0,0,0,9.639,30.219,23.01,0,0,3.8,2.4,0,22.361,51.356,16.872,0,25.551,25.328,0,0,0,21.042,23.503,22.081,0,0,39.027,0,0,0,0,5.2,0,23,6,38.055,0,-3.1,2.399,389.145,4/8/2012
1,01,0,0,0,0,0,9.822,31.014,23.623,0,0,0.7,0.1,0,23.283,52.244,17.02,0,25.551,25.384,0,0,0,19.756,13.836,20.618,0,0,38.078,0,0,0,0,5.2,0,23.1,6,38.055,12.94,-11.4,-.201,372.045,4/8/2012
2,02,0,0,0,0,0,9.859,30.779,23.365,0,0,1,2.1,0,28.83,51.578,16.798,0,25.356,25.384,0,0,0,17.883,17.678,0,0,0,39.188,0,0,0,5.2,5.2,0,23,6,36.99,0,-1.7,4.798,363.089,4/8/2012
3,03,0,0,0,0,0,9.654,29.954,22.785,0,0,10.1,6.5,0,28.861,49.95,0,0,25.773,25.328,0,0,0,16.626,17.487,0,0,0,39.297,0,0,0,5.2,5.2,0,23,6,36.309,5.249,-6.8,-2.71,362.285,4/8/2012
4,04,0,0,0,0,0,9.639,30.219,22.946,0,0,4.8,5.2,0,28.873,51.43,16.65,0,25.411,25.189,0,0,0,15.764,16.161,0,0,0,39.217,0,0,0,0,5.2,0,23,6,36.309,6.104,-6.9,-1.007,363.812,4/8/2012
5,05,0,0,0,0,0,9.947,30.69,23.139,0,0,5.2,6.4,0,28.861,51.208,17.02,0,25.411,25.523,0,0,0,20.331,20.686,0,0,0,38.687,0,0,0,0,5.2,0,23.3,6,40.26,1.343,-.4,2.985,373.935,4/8/2012
6,06,0,0,0,0,0,9.771,30.513,0,0,0,8.6,9.7,0,28.924,51.504,16.724,0,25.411,25.467,0,0,0,19.333,21.315,0,0,0,38.888,0,0,0,0,5.2,0,23.3,6,38.363,4.028,-4.9,-.604,360.489,4/8/2012
7,07,0,0,0,0,0,10.034,30.72,0,0,0,12.9,11.5,0,28.787,51.06,16.798,0,25.411,25.328,0,0,0,20.221,22.176,15.477,0,0,38.288,0,0,0,0,5.2,0,23,6.1,45.384,20.386,-8.6,-5.914,382.512,4/8/2012
8,08,0,0,0,0,0,9.383,30.455,23.027,0,0,11.4,8.3,0,28.842,51.504,16.65,0,25.773,25.551,0,0,0,23.803,24.596,23.79,2.981,0,38.517,0,0,0,0,5.2,0,23.3,6,50.234,-14.771,-.9,4.688,440.289,4/8/2012
9,09,0,0,0,0,0,7.031,30.189,21.673,12.497,0,12.1,11.5,0,29.867,51.134,16.724,0,25.773,25.773,0,0,0,24.186,22.819,24.419,24.186,0,38.567,0,0,0,5.2,5.2,0,23.7,6,50.694,4.517,-.5,2.399,462.816,4/8/2012
10,10,0,0,0,0,0,7.039,30.248,21.512,31.228,0,20.901,12.7,0,26.39,50.838,16.354,0,25.606,25.69,0,0,0,20.276,22.04,24.938,20.139,0,37.927,0,0,0,5.2,5.2,0,23.7,5.8,46.908,-2.686,4.4,3.186,475.734,4/8/2012
11,11,0,0,0,1.245,0,7.061,30.278,20.448,32.954,0,8.7,8.1,0,29.181,51.282,16.724,0,25.606,25.69,0,0,0,23.489,24.583,22.532,22.6,0,38.678,0,0,0,5.2,5.2,0,23,5.4,50.865,18.799,-7.2,0.586,466.631,4/8/2012
12,12,0,0,0,0,0,7.083,30.366,20.464,33.149,0,14.4,9.9,0,29.239,51.356,16.502,0,25.606,25.634,0,0,0,22.887,22.6,20.358,18.663,0,38.487,0,0,0,5.2,5.2,0,23,5.4,50.047,13.428,-7.1,-4.816,474.029,4/8/2012
13,13,0,0,0,0,0,7.068,30.396,20.303,33.177,0,10.7,9.2,0,20.915,51.134,16.872,0,25.606,25.606,0,0,0,20.385,18.362,15.217,14.752,0,38.577,0,0,0,5.2,5.2,0,22.6,5.3,45.303,2.686,-2.8,-3.003,444.99,4/8/2012
14,14,0,0,0,0,0,7.749,30.69,20.787,31.702,0,36.001,22.501,0,22.458,52.096,16.428,0,25.69,25.745,0,0,0,6.672,11.075,14.725,15.053,0,38.508,0,0,0,5.2,5.2,0,23,5.3,40.047,32.472,2.7,-10.309,431.764,4/8/2012
15,15,0,0,0,0,0,8.255,29.659,20.11,30.95,0,22.101,17.101,0,21.442,50.468,16.28,0,25.69,25.857,0,0,0,11.731,14.916,14.52,0,0,37.657,0,0,0,5.2,5.2,0,23,5.21,39.182,-10.254,5.8,-3.204,432.187,4/8/2012
16,16,0,0,0,0,0,8.299,29.777,20.158,31.173,0,10.4,6.8,0,21.969,50.69,16.058,0,25.634,25.94,0,0,0,11.69,15.586,15.737,0,0,38.038,0,0,0,5.2,5.2,0,23,5.2,48.09,-8.179,-8.5,0.586,430.732,4/8/2012
17,17,0,0,0,0,0,9.954,30.543,20.722,17.869,0,8.4,8.1,0,21.868,50.616,16.206,0,25.996,25.718,0,0,0,13.973,20.126,16.379,0,0,38.168,0,0,0,5.2,5.2,0,22.4,5.67,48.09,-9.4,-.6,2.087,419.111,4/8/2012
18,18,0,0,0,0,0,9.895,30.337,20.787,10.298,0,6.9,5.3,0,22.044,50.616,16.428,0,25.606,25.662,0,0,0,24.05,24.514,23.53,0,0,38.187,0,0,0,5.2,5.2,0,22.7,5.83,48.09,2.075,-5.9,2.692,422.307,4/8/2012
19,19,18.516,18.7,18.152,17.627,19.16,10.005,30.69,20.787,30.561,0,9.9,7.8,0,22.044,51.504,16.65,0,25.634,25.885,0,0,0,24.036,24.528,15.245,15.819,0,38.967,0,0,0,5.2,5.2,0,22.7,5.84,48.021,36.866,-19.701,-14.008,545.974,4/8/2012
20,20,18.18,18.6,17.798,16.81,4.53,9.793,30.101,20.464,29.948,0,6.9,5,0,21.985,51.43,16.724,0,25.634,25.801,0,0,0,23.571,23.653,19.36,19.921,0,38.527,0,0,0,5.2,5.2,0,23,5.76,48.099,25.513,-15.4,-6.812,528.678,4/8/2012
21,21,18.361,18.83,18.165,3.015,0,9.829,30.661,20.545,33.566,0,9.7,8.7,0,21.575,51.578,15.984,0,25.634,25.69,0,0,0,15.122,24.569,14.014,14.479,0,37.728,0,0,0,5.2,5.2,0,23,5.84,48.099,17.09,-12.2,-9.21,509.404,4/8/2012
22,22,0,0,13.477,0,0,9.859,30.337,20.416,22.099,0,19.201,13,0,21.551,51.726,16.872,0,25.634,25.69,0,0,0,12.688,11.457,14.793,15.34,0,38.837,0,0,0,5.2,5.2,0,22.8,6,48.099,-7.202,4.8,-1.007,453.685,4/8/2012
