,1-May,2-May,3-May,4-May,5-May,6-May,7-May,5/8/12,5/9/12,5/10/12,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00,187.64,192.11,189.79,188.27,187.19,189.29,190.53,190.49,190.52,192.76,190.53,189.63,190.61,181.55,183.46,181.67,181.98,182.78,183.63,180.71,178.26,178.45,176.72,174.72,188.81,166.62,167.41,170.21,172.18,166.96,172.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00,187.59,185.26,189.70,188.93,189.57,190.76,194.68,195.26,193.68,195.56,195.01,190.97,191.73,181.68,183.40,190.16,184.96,184.09,184.03,184.60,177.72,172.86,173.30,173.75,179.10,166.64,167.40,171.94,166.58,161.77,168.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00,184.39,180.50,184.82,181.60,182.70,181.56,191.24,192.03,195.16,180.39,186.58,185.28,184.79,185.44,181.59,178.72,181.53,182.27,184.14,182.31,173.93,166.76,166.39,166.37,176.77,166.69,172.10,166.58,166.51,165.43,161.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00,177.35,177.88,180.05,191.47,178.10,177.97,179.71,182.55,179.80,179.67,181.10,181.34,180.58,181.12,178.54,174.95,187.60,177.55,174.93,179.18,166.13,169.49,168.70,165.12,175.73,170.65,169.36,162.36,155.16,160.42,163.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24:00,176.55,177.76,181.49,177.88,180.21,178.05,179.05,179.19,179.03,179.65,184.70,179.76,182.37,179.63,173.89,178.26,179.18,176.29,172.47,179.18,167.01,166.80,167.94,167.24,167.87,166.94,162.09,165.79,155.21,163.49,160.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO DE POTENCIA DE OCASION ( US$ / MW ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
