,,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Horas,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,,Horas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:00,86.85,86.04,85.79,85.84,85.83,92.15,90.15,90.30,90.63,97.55,88.32,91.22,99.44,98.51,97.96,94.60,99.09,89.53,89.53,100.87,100.89,101.87,98.73,102.31,99.98,97.73,104.78,146.22,104.86,104.85,,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18:00,86.79,86.08,85.81,87.00,86.00,88.15,88.25,88.15,88.27,89.62,88.30,90.32,97.65,96.02,90.20,89.53,90.75,89.53,89.53,101.31,101.54,93.09,93.09,92.26,93.26,95.25,104.79,106.97,105.29,104.17,,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19:00,94.52,91.35,91.79,91.38,89.28,89.09,89.49,89.22,98.32,95.84,90.74,90.32,97.59,100.20,99.78,97.11,96.54,90.65,90.82,100.92,100.75,98.02,99.48,93.93,97.50,101.24,104.70,105.17,104.85,105.80,,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20:00,94.62,87.84,86.91,89.82,86.79,91.61,91.25,95.46,95.82,97.37,95.11,91.61,96.47,97.47,98.59,99.29,97.60,100.80,95.09,100.86,101.97,98.49,98.61,94.18,101.17,100.63,104.68,104.95,104.78,104.53,,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21:00,88.88,86.99,86.79,86.79,86.79,91.36,88.56,90.83,96.70,98.02,95.05,91.61,98.16,99.06,97.52,96.30,95.31,98.41,96.66,100.97,99.14,97.75,99.47,94.11,101.86,99.66,104.70,104.95,104.69,106.39,,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22:00,86.93,87.69,88.37,88.65,88.65,88.15,88.15,90.03,91.31,91.34,88.28,88.38,95.17,94.13,89.98,89.83,97.85,96.25,90.82,102.48,101.28,93.84,93.73,94.15,93.09,98.64,105.38,105.74,106.23,151.50,,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23:00,86.73,88.08,86.13,86.96,86.09,87.17,88.00,88.01,88.24,88.38,88.15,90.32,87.95,88.86,89.53,89.53,89.53,89.53,89.96,99.33,94.18,93.64,90.79,90.59,90.59,93.24,105.63,107.32,103.38,98.35,,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24:00,85.90,85.76,85.92,85.94,85.56,86.86,87.02,87.63,87.13,88.35,88.09,90.99,87.61,87.56,89.53,89.53,88.26,90.10,89.53,93.25,92.75,90.67,90.79,90.60,93.62,93.09,97.14,102.60,104.10,95.82,,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
